train_years,test_year,n_train,n_test,holdout_auc,model
2023,2024,260,350,0.6282,Linear_baseline
"2023,2024",2025,610,569,0.6652,Linear_baseline
"2023,2024,2025",2026,1179,279,0.5246,Linear_baseline
2023,2024,260,350,0.6776,GBM
"2023,2024",2025,610,569,0.6587,GBM
"2023,2024,2025",2026,1179,279,0.5888,GBM
2023,2024,260,350,0.6481,AdaBoost
"2023,2024",2025,610,569,0.6799,AdaBoost
"2023,2024,2025",2026,1179,279,0.5771,AdaBoost
2023,2024,260,350,0.6841,RandomForest_d3
"2023,2024",2025,610,569,0.6949,RandomForest_d3
"2023,2024,2025",2026,1179,279,0.5611,RandomForest_d3
